Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target
37,1,0,2,0,0,0
30,0,1,1,1,0,0
30,1,0,5,1,1,1
34,0,1,3,0,1,0
29,0,1,2,0,1,0
34,0,0,4,0,0,0
37,1,2,1,0,1,0
37,1,0,1,1,0,0
35,0,0,2,1,1,1
30,0,1,3,0,1,0
36,1,2,6,0,0,1
30,0,0,1,1,1,0
34,0,1,4,1,1,0
29,0,1,1,0,0,0
27,1,0,1,0,1,1
34,0,1,5,0,0,0
30,0,1,2,0,1,0
29,0,0,1,1,1,0
28,1,2,1,0,1,1
37,0,1,4,0,0,0
33,0,0,2,0,0,0
37,1,0,3,1,0,1
30,1,2,1,1,1,1
35,0,0,1,0,1,0
28,0,1,2,0,1,1
30,0,1,6,0,0,0
28,1,0,4,1,1,1
38,0,1,3,1,1,0
27,0,0,5,0,1,1
27,0,0,1,0,1,0
30,1,2,1,0,0,0
30,0,1,1,1,0,0
30,0,0,2,1,1,1
28,0,1,4,0,1,0
28,1,2,1,0,1,1
29,0,0,1,1,0,0
33,0,1,2,0,1,0
30,0,1,1,1,0,0
37,1,0,1,0,1,0
36,0,1,3,0,1,0
27,0,1,6,0,0,1
37,0,0,5,1,1,1
31,1,2,1,1,1,0
27,0,1,1,0,0,0
33,0,0,2,1,1,1
29,0,1,3,0,0,0
34,1,2,1,0,1,1
30,0,0,4,1,1,0
30,0,1,2,0,1,0
35,1,0,1,0,0,0
31,1,0,1,0,0,0
27,0,1,3,1,1,0
34,0,1,2,1,1,0
31,0,0,1,1,0,0
27,1,2,5,0,1,1
30,0,1,6,0,0,0
29,0,0,2,0,1,0
30,0,1,3,1,1,0
28,1,2,1,0,1,1
29,0,0,1,0,1,0
36,0,1,2,0,0,0
37,0,1,4,1,0,0
30,1,0,1,1,1,1
28,0,0,3,0,1,0
34,0,1,2,0,1,0
38,0,0,1,0,0,0
30,1,2,1,0,1,0
30,0,1,5,1,0,0
33,0,0,4,0,1,0
34,0,1,3,0,0,0
34,1,2,6,0,0,1
37,0,0,1,1,1,0
37,0,1,2,1,1,0
37,0,1,1,0,0,0
37,1,0,1,0,1,0
31,0,1,4,0,0,0
34,0,1,2,0,1,0
30,0,0,1,1,0,0
34,1,2,1,0,1,0
37,0,1,1,0,0,0
33,0,0,5,1,0,1
28,0,1,3,1,1,0
33,1,2,4,1,1,1
31,0,0,1,0,1,0
28,0,0,2,0,1,1
29,0,1,6,0,0,0
38,1,0,1,0,1,0
36,0,1,3,1,1,0
28,0,1,2,0,1,1
29,0,0,4,1,1,0
30,1,2,1,0,0,0
34,1,0,1,1,0,0
29,0,0,2,1,1,1
37,0,1,5,0,0,1
30,1,2,1,0,1,1
37,0,0,1,0,0,0
30,0,1,4,0,1,0
31,0,1,1,1,0,0
30,1,0,1,1,1,1
30,0,1,3,0,1,0
37,0,1,6,0,0,0
37,0,0,1,1,0,0
36,1,2,1,1,1,0
31,0,1,4,0,0,0
36,0,0,2,0,1,0
28,0,0,3,0,0,0
30,1,2,5,0,1,1
28,0,0,1,1,1,0
38,0,1,2,0,1,0
31,0,1,1,0,0,0
29,1,0,4,0,0,0
34,0,1,3,1,1,0
36,1,0,2,1,1,0
37,0,0,1,0,1,0
29,1,2,1,0,1,0
37,0,1,6,0,0,0
38,0,0,2,1,1,1
30,0,1,4,1,0,0
37,1,2,1,0,1,1
35,1,0,5,0,1,1
28,0,1,2,0,0,1
31,0,1,1,1,0,0
34,1,0,1,1,1,1
35,0,1,3,0,1,0
35,0,1,4,0,1,0
35,0,0,1,1,0,0
28,1,2,1,0,1,1
28,0,1,1,1,0,0
28,0,0,2,0,1,1
30,0,1,3,0,1,0
36,1,2,6,0,0,1
30,0,0,4,1,1,0
31,0,1,5,1,1,0
31,0,0,1,0,0,0
28,1,0,1,1,1,1
35,0,1,3,0,0,0
37,0,1,2,0,1,0
29,0,0,1,1,1,0
34,1,2,4,0,1,0
31,0,1,1,0,0,0
30,0,0,2,0,0,0
35,0,1,3,1,0,0
38,1,2,1,1,1,1
27,0,0,1,1,1,0
29,0,1,2,0,1,0
35,0,1,6,0,0,1
29,1,0,1,0,1,0
37,1,0,3,1,1,1
34,0,1,2,0,1,0
37,0,0,1,0,0,0
28,1,2,1,0,0,1
36,0,1,1,1,0,0
30,0,0,4,1,1,1
37,0,1,3,0,1,0
36,1,2,1,0,1,1
33,0,0,1,0,0,0
37,0,1,2,0,1,0
35,0,1,1,1,0,0
27,1,0,5,0,1,1
28,0,1,4,0,1,0
30,0,1,6,0,0,0
34,1,0,1,1,1,0
35,1,2,1,1,1,0
37,0,1,1,0,0,0
27,0,0,2,0,1,1
38,0,1,3,0,0,0
30,1,2,4,0,1,1
30,0,0,1,1,1,0
36,1,0,2,0,1,0
30,0,1,1,0,0,0
34,1,0,1,1,0,1
30,0,1,5,1,1,0
37,0,1,2,1,1,0
37,0,0,4,0,0,0
30,1,2,1,0,1,0
38,1,0,6,0,0,0
36,0,0,2,0,1,0
34,0,1,3,1,1,0
34,1,2,1,0,1,1
31,0,0,1,1,1,0
30,0,1,4,0,0,0
35,0,1,1,1,0,0
33,1,0,1,1,1,1
30,0,1,3,0,1,0
31,0,1,5,0,1,0
29,0,0,1,0,0,0
30,1,2,1,0,1,0
30,0,1,4,1,0,0
30,0,0,2,1,1,1
35,1,0,3,0,0,1
31,1,2,6,0,0,1
27,0,0,1,1,1,0
37,0,1,2,1,1,0
34,0,1,1,0,0,0
30,1,0,4,0,1,0
34,0,1,3,0,0,0
31,0,0,2,0,1,0
34,0,0,5,1,0,0
34,1,2,1,0,1,0
27,0,1,1,0,0,0
30,0,0,2,0,0,0
37,0,1,4,1,1,0
37,1,2,1,1,1,1
37,1,0,1,0,1,0
27,0,1,2,0,1,1
30,0,1,6,0,0,0
31,1,0,1,1,1,1
30,0,1,3,1,1,0
37,0,1,4,0,1,0
34,0,0,1,0,1,0
27,1,2,5,0,0,1
30,0,1,1,1,0,0
34,0,0,2,1,1,1
38,0,1,3,0,0,0
35,1,2,1,0,1,1
34,0,0,4,1,0,0
29,0,1,2,0,1,0
31,0,0,1,1,0,0
30,1,0,1,0,1,0
30,0,1,3,0,1,0
30,0,1,6,0,0,0
34,0,0,1,1,0,0
29,1,2,4,1,1,0
27,0,1,5,0,0,0
29,0,0,2,1,1,1
30,0,1,3,0,0,0
31,1,2,1,0,1,1
34,0,0,1,1,1,0
31,0,1,2,0,1,0
36,0,1,4,0,0,0
37,1,0,1,0,0,0
30,0,0,3,1,1,0
30,0,1,2,1,1,0
30,0,0,1,1,1,0
34,1,2,1,0,1,0
36,0,1,6,0,0,0
30,0,0,5,0,1,0
34,0,1,3,1,0,0
31,1,2,1,0,1,1
30,0,0,1,0,1,0
35,0,1,2,0,0,0
36,0,1,1,1,0,0
27,1,0,1,1,1,1
30,0,1,4,0,1,0
38,0,1,2,0,1,0
31,0,0,1,0,0,0
37,1,2,1,0,1,0
34,0,1,1,1,0,0
30,0,0,2,0,1,0
36,0,1,5,0,1,1
35,1,2,6,0,0,1
30,0,0,1,1,1,0
27,0,0,2,1,1,1
34,0,1,1,0,0,0
30,1,0,1,0,1,0
30,0,1,3,0,0,0
30,0,1,2,0,1,0
30,0,0,4,1,1,0
27,1,2,1,0,1,1
36,1,0,1,0,0,0
30,0,0,2,1,0,1
34,0,1,3,1,0,0
34,1,2,5,1,1,1
37,0,0,1,0,1,0
27,0,1,4,0,1,1
37,0,1,6,0,0,0
30,1,0,1,0,1,0
37,0,1,3,1,1,0
27,0,1,2,0,1,1
31,0,0,1,1,0,0
31,1,2,1,0,0,0
27,0,1,4,1,0,0
27,0,0,2,1,1,1
30,0,0,3,0,1,0
35,1,2,1,0,1,1
28,0,0,5,0,0,0
30,0,1,2,0,1,0
37,0,1,1,1,0,0
30,1,0,4,1,1,1
37,0,1,3,0,1,0
37,1,0,6,0,0,0
30,0,0,1,1,1,0
29,1,2,1,1,1,0
36,0,1,1,0,0,0
30,0,0,2,0,1,0
37,0,1,4,0,0,0
37,1,2,1,0,1,1
31,0,0,1,1,1,0
27,0,1,5,0,1,1
30,0,1,1,0,0,0
29,1,0,1,0,0,0
30,0,1,3,1,1,0
31,0,1,4,1,1,0
36,0,0,1,0,0,0
34,1,2,1,0,1,0
34,0,1,6,0,0,0
30,0,0,2,1,1,1
37,0,1,3,1,1,0
34,1,2,1,0,1,1
30,0,0,4,0,1,0
38,0,1,2,0,0,0
28,0,0,5,1,0,0
27,1,0,1,1,1,1
28,0,1,3,0,1,0
37,0,1,2,0,1,0
27,0,0,1,1,0,0
38,1,2,4,0,1,0
28,0,1,1,1,0,0
36,1,0,2,0,1,0
37,0,1,3,0,0,0
28,1,2,6,0,0,1
30,0,0,1,1,1,0
28,0,1,2,1,1,1
30,0,1,4,0,0,0
27,1,0,5,1,1,1
30,0,0,3,0,0,0
28,0,1,2,0,1,1
30,0,0,1,1,0,0
27,1,2,1,0,1,1
34,0,1,1,0,0,0
37,0,0,4,0,0,0
36,0,1,3,1,1,0
37,1,2,1,1,1,1
31,0,0,1,1,1,0
37,0,1,2,0,1,0
37,0,1,6,0,0,0
31,1,0,1,0,1,0
35,0,1,5,1,1,1
30,0,1,2,0,1,0
36,1,0,1,0,1,0
29,1,2,1,0,0,0
36,0,1,1,1,0,0
37,0,0,2,1,1,1
30,0,1,3,0,0,0
33,1,2,4,0,1,1
31,0,0,1,0,0,0
30,0,0,2,0,1,0
37,0,1,1,1,0,0
31,1,0,1,0,1,0
37,0,1,3,0,1,0
34,0,1,6,0,0,0
28,0,0,4,1,0,0
30,1,2,1,1,1,0
31,0,0,1,0,0,0
35,0,0,2,0,1,0
28,0,1,3,0,0,0
34,1,2,1,0,1,1
30,0,0,1,1,1,0
34,0,1,4,0,1,0
31,0,1,1,0,0,0
30,1,0,1,1,0,1
30,0,1,3,1,1,0
35,0,1,2,1,1,0
30,0,0,5,0,1,0
30,1,2,1,0,1,0
34,0,1,6,0,0,0
34,0,0,2,0,1,0
31,0,0,3,1,0,0
29,1,2,1,0,1,1
30,0,0,1,1,1,0
29,0,1,2,0,0,0
34,0,1,1,1,0,0
34,1,0,4,1,1,1
31,0,1,3,0,1,0
27,0,0,2,0,1,1
38,0,0,1,0,0,0
30,1,2,5,0,1,0
38,0,1,1,1,0,0
36,0,0,2,1,1,1
35,0,1,4,0,1,0
28,1,2,6,0,0,1
34,1,0,1,1,1,0
30,0,1,2,1,1,0
27,0,1,1,0,0,0
30,1,0,1,0,1,0
31,0,1,3,0,0,0
30,0,1,4,0,1,0
34,0,0,1,1,1,0
31,1,2,1,0,1,0
29,0,1,5,0,0,0
34,0,0,2,0,0,0
33,0,1,3,1,0,0
31,1,2,1,1,1,1
30,0,0,4,0,1,0
36,0,1,2,0,1,0
28,0,0,6,0,0,0
31,1,0,1,1,1,1
29,0,1,3,1,1,0
37,0,1,2,0,1,0
34,0,0,1,0,0,0
28,1,2,4,0,0,1
30,0,1,1,1,0,0
28,0,0,5,1,1,1
29,0,1,3,0,1,0
30,1,2,1,0,1,1
37,0,0,1,1,0,0
27,0,1,2,0,1,1
29,0,1,4,1,0,0
36,1,0,1,0,1,0
35,1,0,3,0,1,1
28,0,1,6,0,0,1
36,0,0,1,1,1,0
29,1,2,1,1,1,0
37,0,1,1,0,0,0
31,0,0,4,1,1,1
28,0,1,5,0,0,0
31,1,2,1,0,1,1
36,0,0,1,1,1,0
36,0,1,2,0,1,0
31,0,1,1,0,0,0
30,1,0,1,0,0,0
29,0,1,4,1,1,0
38,0,1,2,1,1,0
38,1,0,1,1,0,0
29,1,2,1,0,1,0
27,0,1,6,0,0,0
35,0,0,2,0,1,0
30,0,1,3,1,1,0
29,1,2,5,0,1,1
31,0,0,1,0,1,0
31,0,0,2,0,0,0
34,0,1,1,1,0,0
29,1,0,1,1,1,1
37,0,1,3,0,1,0
36,0,1,2,0,1,0
34,0,0,4,0,0,0
30,1,2,1,0,1,0
31,0,0,1,1,0,0
31,0,0,2,0,1,0
31,0,1,3,0,0,0
37,1,2,6,0,0,1
30,0,0,5,1,1,0
31,0,1,4,1,1,0
38,0,1,1,0,0,0
28,1,0,1,0,1,1
30,0,1,3,0,0,0
27,0,1,2,0,1,1
27,0,0,1,1,1,0
30,1,2,1,0,1,0
36,0,1,4,0,0,0
27,0,0,2,1,0,1
34,1,0,3,1,1,1
37,1,2,1,1,1,1
38,0,0,1,0,1,0
37,0,1,5,0,1,1
37,0,1,6,0,0,0
37,1,0,4,0,1,0
37,0,1,3,1,1,0
36,1,0,2,0,1,0
35,0,0,1,1,1,0
30,1,2,1,0,0,0
30,0,1,1,1,0,0
30,0,0,2,1,1,1
30,0,1,4,0,0,0
30,1,2,1,0,1,1
34,1,0,1,0,0,0
30,0,1,2,0,1,0
30,0,1,5,1,0,0
34,1,0,1,1,1,1
37,0,1,3,0,1,0
30,0,1,6,0,0,0
29,0,0,1,1,0,0
33,1,2,1,1,1,0
34,0,1,1,0,0,0
38,0,0,2,0,1,0
31,0,1,3,0,0,0
30,1,2,1,0,1,1
35,0,0,4,1,1,0
30,0,1,2,0,1,0
37,1,0,1,0,0,0
34,1,0,5,0,0,0
30,0,1,3,1,1,0
29,0,1,2,1,1,0
30,0,0,1,0,1,0
27,1,2,4,0,1,1
30,0,1,6,0,0,0
36,1,0,2,1,1,1
37,0,1,3,1,0,0
30,1,2,1,0,1,1
37,0,0,1,0,1,0
30,0,1,2,0,0,0
27,0,1,4,1,0,0
37,1,0,1,1,1,1
28,0,0,5,0,1,0
34,0,1,2,0,1,0
29,0,0,1,1,0,0
37,1,2,1,0,1,0
28,0,1,1,1,0,0
30,0,0,4,0,1,0
35,0,1,3,0,1,0
30,1,2,6,0,0,1
30,0,0,1,1,1,0
37,0,1,2,1,1,0
30,0,1,1,0,0,0
30,1,0,1,1,1,1
28,0,1,4,0,0,0
36,0,1,5,0,1,1
36,1,0,1,1,1,0
29,1,2,1,0,1,0
35,0,1,1,0,0,0
30,0,0,2,0,0,0
34,0,1,3,1,0,0
30,1,2,4,1,1,1
33,0,0,1,1,1,0
37,1,0,2,0,1,0
30,0,1,6,0,0,0
30,1,0,1,0,1,0
28,0,1,3,1,1,0
35,0,1,2,0,1,0
37,0,0,5,0,0,1
30,1,2,1,0,0,0
30,0,0,1,1,0,0
28,0,0,2,1,1,1
36,0,1,3,0,1,0
28,1,2,1,0,1,1
30,0,0,1,0,0,0
31,0,1,4,0,1,0
29,0,1,1,1,0,0
33,1,0,1,0,1,0
29,0,1,3,0,1,0
29,0,1,6,0,0,0
31,0,0,1,1,1,0
29,1,2,5,1,1,0
27,0,1,4,0,0,0
28,0,0,2,0,1,1
31,0,0,3,0,0,0
30,1,2,1,0,1,1
28,0,0,1,1,1,0
30,0,1,2,0,1,0
27,0,1,1,0,0,0
37,1,0,4,1,0,1
36,0,1,3,1,1,0
30,0,0,2,1,1,0
36,0,0,1,0,0,0
29,1,2,1,0,1,0
36,0,1,6,0,0,1
34,0,0,2,0,1,0
34,0,1,4,1,1,0
29,1,2,1,0,1,1
37,1,0,1,1,1,0
30,0,1,2,0,0,0
35,0,1,1,1,0,0
27,1,0,1,1,1,1
36,0,1,3,0,1,0
35,0,1,4,0,1,0
30,0,0,1,0,0,0
31,1,2,1,0,1,0
30,0,1,1,1,0,0
29,0,0,5,1,1,1
36,0,1,3,0,0,0
29,1,2,6,0,0,1
37,0,0,4,1,1,0
30,0,1,2,1,1,0
37,1,0,1,0,0,0
36,1,0,1,0,1,0
28,0,1,3,0,0,0
37,0,1,2,0,1,0
30,0,0,1,1,0,0
30,1,2,4,0,1,0
30,0,1,1,0,0,0
30,0,0,2,0,0,0
31,0,1,5,1,1,0
30,1,2,1,1,1,1
29,0,0,1,0,1,0
37,0,1,2,0,1,0
29,0,1,6,0,0,0
37,1,0,1,1,1,1
36,1,0,3,1,1,1
31,0,1,2,0,1,0
27,0,0,1,0,1,0
33,1,2,1,0,0,0
27,0,1,1,1,0,0
37,0,0,4,1,1,1
30,0,1,3,0,0,0
29,1,2,5,0,1,1
34,0,0,1,1,0,0
30,0,1,2,0,1,0
33,0,1,1,1,0,0
29,1,0,1,0,1,0
37,0,1,4,0,1,0
30,0,1,6,0,0,0
33,1,0,1,1,0,0
30,1,2,1,1,1,0
30,0,1,1,0,0,0
36,0,0,2,1,1,1
37,0,1,3,0,0,0
37,1,2,4,0,1,1
37,0,0,5,1,1,1
31,0,0,2,0,1,0
31,0,1,1,0,0,0
30,1,0,1,0,0,0
29,0,1,3,1,1,0
37,0,1,2,1,1,0
30,0,0,4,1,1,0
37,1,2,1,0,1,0
38,1,0,6,0,0,0
30,0,0,2,0,1,0
30,0,1,3,1,0,0
36,1,2,1,0,1,1
35,0,0,1,0,1,0
31,0,1,5,0,0,0
30,0,1,1,1,0,0
29,1,0,1,1,1,1
36,0,1,3,0,1,0
37,0,1,2,0,1,0
29,0,0,1,0,0,0
28,1,2,1,0,1,1
30,0,1,4,1,0,0
30,0,0,2,0,1,0
29,0,0,3,0,1,0
31,1,2,6,0,0,1
37,0,0,1,1,1,0
30,0,1,2,1,1,0
37,0,1,5,0,0,1
33,1,0,4,0,1,0
30,0,1,3,0,0,0
31,0,0,2,0,1,0
38,0,0,1,1,1,0
34,1,2,1,0,1,0
30,0,1,1,0,0,0
35,0,0,2,1,0,1
27,0,1,4,1,1,0
29,1,2,1,1,1,1
29,0,0,1,0,1,0
27,0,1,2,0,1,1
34,0,1,6,0,0,0
29,1,0,5,0,1,0
30,0,1,3,1,1,0
31,0,1,4,0,1,0
34,0,0,1,1,0,0
31,1,2,1,0,0,0
31,0,1,1,1,0,0
37,0,0,2,1,1,1
37,0,1,3,0,1,0
30,1,2,1,0,1,1
35,0,0,4,0,0,0
38,0,1,2,0,1,0
30,0,0,1,1,0,0
30,1,0,1,1,1,1
28,0,1,5,0,1,0
35,0,1,6,0,0,0
30,0,0,1,1,1,0
30,1,2,4,1,1,0
37,0,1,1,0,0,0
34,1,0,2,0,1,0
34,0,1,3,0,0,0
34,1,2,1,0,1,1
33,0,0,1,1,1,0
31,0,1,2,0,1,0
29,0,1,4,0,0,0
31,1,0,1,0,0,0
33,1,0,3,1,1,1
29,0,1,5,1,1,0
37,0,0,1,0,0,0
33,1,2,1,0,1,0
31,0,1,6,0,0,0
28,0,0,4,1,1,1
36,0,1,3,1,1,0
33,1,2,1,0,1,1
31,0,0,1,0,1,0
27,0,1,2,0,0,1
37,0,1,1,1,0,0
29,1,0,1,1,1,1
30,0,1,4,0,1,0
30,0,1,2,0,1,0
27,0,0,5,1,0,0
37,1,2,1,0,1,0
31,0,1,1,1,0,0
30,0,0,2,0,1,0
35,0,1,3,0,0,0
31,1,2,6,0,0,1
30,0,0,1,1,1,0
35,1,0,2,1,1,0
37,0,1,1,0,0,0
28,1,0,1,1,1,1
37,0,1,3,0,0,0
29,0,1,2,0,1,0
37,0,0,4,1,0,0
34,1,2,5,0,1,0
36,1,0,1,0,0,0
38,0,0,2,0,0,0
30,0,1,3,1,1,0
31,1,2,1,1,1,1
31,0,0,1,1,1,0
28,0,1,4,0,1,1
30,0,1,6,0,0,0
37,1,0,1,0,1,0
31,0,1,3,1,1,0
31,0,1,2,0,1,0
36,0,0,1,0,1,0
30,1,2,1,0,0,0
30,0,1,5,1,0,0
31,0,0,2,1,1,1
38,1,0,3,0,0,1
37,1,2,1,0,1,1
35,0,0,1,0,0,0
30,0,1,2,0,1,0
29,0,1,1,1,0,0
34,1,0,4,0,1,0
35,0,1,3,0,1,0
28,0,0,6,0,0,1
37,0,0,1,1,0,0
30,1,2,1,1,1,0
29,0,1,1,0,0,0
30,0,0,5,0,1,0
37,0,1,4,0,0,0
33,1,2,1,0,1,1
30,0,0,1,1,1,0
31,0,1,2,0,1,0
28,0,1,1,0,0,0
34,1,0,1,1,0,1
34,0,1,3,1,1,0
36,0,1,4,1,1,0
30,0,0,1,0,1,0
36,1,2,1,0,1,0
38,0,1,6,0,0,0
27,0,0,2,0,1,1
29,0,1,5,1,0,0
35,1,2,1,0,1,1
30,0,0,4,1,1,0
31,0,1,2,0,0,0
30,0,0,1,1,0,0
28,1,0,1,1,1,1
28,0,1,3,0,1,0
31,0,1,2,0,1,0
30,0,0,1,0,0,0
31,1,2,4,0,1,0
28,0,1,1,1,0,0
30,0,0,2,1,1,1
38,0,1,3,0,1,0
35,1,2,6,0,0,1
34,0,0,1,1,1,0
30,0,1,2,1,1,0
30,0,1,4,0,0,0
38,1,0,1,0,1,0
36,1,0,3,0,0,1
31,0,1,2,0,1,0
31,0,0,1,1,1,0
34,1,2,1,0,1,0
33,0,1,1,0,0,0
30,0,0,4,0,0,0
36,0,1,3,1,0,0
34,1,2,1,1,1,1
34,0,0,5,0,1,0
27,0,1,2,0,1,1
31,0,1,6,0,0,0
36,1,0,1,1,1,1
37,0,1,4,1,1,0
30,0,1,2,0,1,0
30,0,0,1,0,0,0
30,1,2,1,0,0,0
37,0,1,1,1,0,0
28,0,0,2,1,1,1
37,0,1,3,0,1,0
28,1,2,4,0,1,1
37,0,0,1,1,0,0
29,0,0,5,0,1,0
34,0,1,1,1,0,0
34,1,0,1,0,1,0
35,0,1,3,0,1,0
30,0,1,6,0,0,0
28,0,0,4,1,1,0
30,1,2,1,1,1,0
36,1,0,1,0,0,0
28,0,0,2,1,1,1
35,0,1,3,0,0,0
36,1,2,1,0,1,1
31,0,0,1,1,1,0
30,0,1,4,0,1,0
34,0,1,5,0,0,0
33,1,0,1,0,0,0
37,0,1,3,1,1,0
36,0,1,2,1,1,0
28,0,0,1,1,0,0
28,1,2,1,0,1,1
37,0,1,6,0,0,0
30,0,0,2,0,1,0
29,0,0,3,1,1,0
30,1,2,1,0,1,1
30,0,0,1,0,1,0
29,0,1,2,0,0,0
36,0,1,1,1,0,0
30,1,0,5,1,1,1
30,0,1,3,0,1,0
34,1,0,2,0,1,0
27,0,0,1,0,0,0
37,1,2,1,0,1,0
27,0,1,1,1,0,0
31,0,0,2,0,1,0
36,0,1,4,0,0,0
30,1,2,6,0,0,1
27,0,0,1,1,1,0
38,0,1,2,1,1,0
31,0,1,1,0,0,0
31,1,0,1,0,1,0
30,0,1,5,0,0,0
37,0,1,4,0,1,0
30,0,0,1,1,0,0
31,1,2,1,0,1,0
